x,pressure
24750.0,582415.7561117512
24800.0,586790.451410726
24850.0,591261.7318934631
24900.0,595733.0123762006
24950.0,600204.2928589378
25000.0,604675.5733416753
25050.0,608381.4437375541
25100.0,609674.8366709138
25150.0,611064.824570135
25200.0,612454.8222514547
25250.0,613844.8101506758
25300.0,615234.7980498964
25350.0,616624.7957312161
25400.0,617918.1886645758
25450.0,619308.1765637969
25500.0,620698.1742451167
25550.0,622088.1621443378
25600.0,623478.1500435589
25650.0,624868.1477248786
25700.0,623349.8916225611
25750.0,620881.286957887
25800.0,618412.6822932134
25850.0,615944.0874664407
25900.0,613475.4828017672
25950.0,611006.8879749945
26000.0,608441.6883444595
26050.0,605973.0836797854
26100.0,603504.4888530133
26150.0,601035.8841883391
26200.0,598567.279523665
26250.0,596098.6846968929
26300.0,592761.8197561465
26350.0,586633.0140367644
26400.0,580504.2181552831
26450.0,574375.4222738025
26500.0,568246.6263923212
26550.0,562117.8206729391
26600.0,555892.4298255964
26650.0,549763.6339441157
26700.0,543634.8380626345
26750.0,537506.0421811538
26800.0,531377.2364617711
26850.0,525248.4405802898
26900.0,519023.04973294766
26950.0,513704.0016780064
27000.0,508745.29627563665
27050.0,503786.5908732669
27100.0,498827.8854708978
27150.0,493869.18990642944
27200.0,488813.8895381983
27250.0,483855.1841358286
27300.0,478896.47873345885
27350.0,473937.7733310897
27400.0,468979.07776662137
27450.0,464020.37236425164
27500.0,458965.0719960205
27550.0,454715.3644719275
27600.0,453844.9735019331
27650.0,452974.5825319381
27700.0,452104.1915619437
27750.0,451233.8005919487
27800.0,450266.80487399426
27850.0,449396.41390399926
27900.0,448526.02293400484
27950.0,447655.63196400984
28000.0,446785.2409940154
28050.0,445914.84024192183
28100.0,444947.85430606594
28150.0,444077.46333607094
28161.83,443695.24789222644
29757.33,414930.1909554418
29800.0,412526.7988873718
29850.0,409705.13161716465
29900.0,406786.8693810955
29950.0,403965.2021108884
30000.0,401143.5250027793
30050.0,398011.9244867868
30100.0,392030.5200441184
30150.0,385952.5304734899
30200.0,379971.12603082147
30250.0,789837.6825032302
30300.0,783856.2780605617
30350.0,777874.8736178933
30400.0,771893.4691752243
30450.0,765815.4697666945
30500.0,759834.065324026
30550.0,753852.670719259
30600.0,747871.2662765905
30650.0,741889.8618339221
30700.0,733624.2147404056
30750.0,723603.0959086337
30800.0,713678.581880624
30850.0,703754.0580147136
30900.0,693829.543986704
30950.0,683905.0201207935
31000.0,673883.9111269229
31050.0,663959.3872610119
31100.0,654034.8732330028
31150.0,644110.3493670918
31200.0,634185.8353390828
31250.0,624261.3114731723
31300.0,614883.6504205329
31350.0,615580.0973112913
31400.0,616276.5539841482
31450.0,616973.0008749065
31500.0,617669.4477656643
31550.0,618365.8946564227
31600.0,618965.7465813196
31650.0,619662.193472078
31700.0,620358.6403628363
31750.0,621055.0872535941
31800.0,621751.5341443524
31850.0,622351.3860692494
31900.0,623047.8329600077
31950.0,622876.4120631973
32000.0,621970.7957561533
32050.0,621065.1892312074
32100.0,620159.5729241633
32150.0,619157.3616512574
32200.0,618251.7453442133
32250.0,617346.1388192679
32300.0,616440.5225122233
32350.0,615534.9062051793
32400.0,614629.2898981348
32450.0,613627.0786252293
32500.0,612721.4721002838
32550.0,611548.775155232
32600.0,598932.6998446063
32650.0,586316.634371882
32700.0,573603.9640953948
32750.0,560987.8887847691
32800.0,548371.8134741428
32850.0,535755.7480014184
32900.0,523139.6726907927
32950.0,510523.597380167
33000.0,497810.9271036798
33050.0,485194.8616309549
33100.0,472578.7863203292
33150.0,459962.71100970346
33200.0,455061.80327807355
33250.0,457725.07804123557
33300.0,460291.7676206353
33350.0,462955.0521658959
33400.0,465618.3367111565
33450.0,468281.6212564176
33500.0,470944.9058016782
33550.0,473511.5953810774
33600.0,476174.8799263385
33650.0,478838.1644715991
33700.0,481501.4490168597
33750.0,484164.7335621203
33800.0,486828.0181073814
33850.0,478870.96969306876
33900.0,470853.6902583606
33950.0,462836.4108236518
34000.0,454819.13138894306
34050.0,446801.8519542349
34100.0,438687.9677157633
34150.0,430670.68828105455
34200.0,422653.40884634637
34250.0,414636.1294116376
34300.0,406522.24517316604
34350.0,398504.96573845786
34400.0,390487.6863037491
34450.0,386870.2213511907
34500.0,388266.24480524624
34550.0,389662.2682593018
34600.0,390961.6967474959
34650.0,392357.72020155203
34700.0,393753.74365560757
34750.0,395149.7671096631
34800.0,396545.79056371865
34850.0,397941.8237998733
34900.0,399241.2522880674
34950.0,400637.27574212296
35000.0,402033.2991961791
35050.0,403429.3226502346
35100.0,406238.56588866835
35150.0,409125.703978234
35200.0,411916.2373198391
35250.0,414803.3656273062
35300.0,417690.4939347733
35350.0,420577.6222422398
35400.0,423464.7505497069
35450.0,426351.878857174
35500.0,429142.4121987791
35550.0,432029.5405062462
35600.0,434916.6688137133
35650.0,437803.7971211798
35700.0,438204.0714127021
35750.0,435286.52395542595
35800.0,432272.3815322878
35850.0,429354.82423711027
35900.0,426437.2767798341
35950.0,423519.7293225574
36000.0,420602.18186528125
36050.0,417684.6344080045
36100.0,414670.4919848669
36150.0,411752.9445275902
36200.0,408835.38723241264
36250.0,405917.8397751359
36300.0,403000.29231785977
36350.0,404482.79930561583
36400.0,406302.12677006907
36450.0,408218.0394182852
36500.0,410133.9618485993
36550.0,412049.88427891396
36600.0,413965.8067092286
36650.0,415785.12439158326
36700.0,417701.0468218979
36750.0,419616.96925221256
36800.0,421532.8916825272
36850.0,423448.80433074274
